Thu Apr 24 11:56:54 2025


Number of Points = 8424

Depth (nm)	Load (µN)	Time (s)
44.020727	1910.967374	0.000000
43.873136	1940.988070	0.005005
44.093875	1956.739807	0.010010
43.962133	1979.788776	0.015014
44.083228	1893.469696	0.020019
43.689583	1962.815405	0.025024
44.359754	1898.127083	0.030029
44.209859	1873.519365	0.035034
43.387873	1853.584144	0.040038
43.066461	1871.935093	0.045043
42.929234	1867.834130	0.050048
42.522949	1777.018129	0.055053
42.345490	1781.713836	0.060058
41.810074	1745.281843	0.065062
41.537021	1771.084155	0.070067
41.091364	1610.993771	0.075072
40.912021	1613.798124	0.080077
40.206459	1565.633073	0.085082
39.836682	1553.966901	0.090086
39.638177	1477.003017	0.095091
38.960343	1423.316124	0.100096
38.196831	1478.136965	0.105101
37.461095	1407.692643	0.110106
37.027445	1310.109495	0.115110
36.459211	1300.902851	0.120115
35.776999	1238.835844	0.125120
35.394740	1173.260899	0.130125
34.780132	1121.195018	0.135130
33.651378	1123.176287	0.140134
33.031004	1054.937380	0.145139
32.200444	968.952585	0.150144
31.622960	991.360022	0.155149
31.141311	895.323441	0.160154
30.053137	767.215357	0.165158
29.260710	786.499504	0.170163
28.591985	749.449821	0.175168
27.996240	669.877842	0.180173
26.857295	659.421353	0.185178
25.596656	635.311490	0.190182
24.941099	534.498577	0.195187
24.483702	564.482963	0.200192
23.361645	476.856155	0.205197
22.402225	459.799812	0.210202
21.342657	378.567280	0.215206
20.578407	290.921975	0.220211
19.394402	292.170006	0.225216
18.437428	273.810046	0.230221
17.714450	252.014256	0.235226
16.737462	181.491973	0.240230
15.913732	129.448440	0.245235
14.766010	94.489438	0.250240
13.678416	61.865772	0.255245
12.433711	72.254872	0.260250
11.424961	-33.298234	0.265254
10.140104	41.701041	0.270259
9.149290	-17.277149	0.275264
7.861679	-5.608346	0.280269
6.688602	-14.850218	0.285274
5.260111	-8.709484	0.290278
4.507011	-22.075735	0.295283
3.299962	-26.708287	0.300288
1.997010	-32.386225	0.305293
1.051774	-2.302223	0.310298
0.162956	-21.599174	0.315302
-1.213288	-12.193402	0.320307
-2.428966	-45.625923	0.325312
-3.706608	-44.722320	0.330317
-5.275395	24.608788	0.335322
-5.820136	-40.732453	0.340326
-7.116147	-14.014097	0.345331
-8.151352	-23.289427	0.350336
-9.253620	-11.168803	0.355341
-10.453146	-55.694327	0.360346
-11.590998	-9.296525	0.365350
-12.557949	-35.858840	0.370355
-13.839981	-25.820472	0.375360
-14.758342	-53.188287	0.380365
-16.033256	11.434153	0.385370
-16.613001	11.691105	0.390374
-17.995064	9.447479	0.395379
-19.211970	-18.196410	0.400384
-20.044564	-38.476730	0.405389
-21.078721	-34.021168	0.410394
-21.957193	-17.903555	0.415398
-22.994551	-27.115439	0.420403
-24.104204	1.520230	0.425408
-25.279600	-0.366469	0.430413
-26.412018	-36.695691	0.435418
-27.213352	-43.768924	0.440422
-28.091766	13.567287	0.445427
-29.265268	7.019390	0.450432
-30.431481	-14.239334	0.455437
-31.483064	-3.476076	0.460442
-32.364523	-3.769674	0.465446
-33.420829	40.170559	0.470451
-34.190134	-40.881349	0.475456
-35.714585	4.054761	0.480461
-36.719106	-69.225895	0.485466
-37.494096	22.077918	0.490470
-38.634857	-40.533129	0.495475
-39.739047	2.308035	0.500480
-40.079952	30.912264	0.505485
-41.508722	0.257349	0.510490
-42.913832	41.608129	0.515494
-43.663819	21.575861	0.520499
-44.735442	1.788994	0.525504
-45.631269	42.931887	0.530509
-46.667734	-38.444051	0.535514
-47.785502	-9.542464	0.540518
-48.708945	-53.157784	0.545523
-49.650432	-31.569128	0.550528
-51.034646	-7.890459	0.555533
-51.512208	18.642166	0.560538
-52.664152	21.909512	0.565542
-53.652278	13.094751	0.570547
-54.869703	-1.093179	0.575552
-55.474864	6.639345	0.580557
-56.713688	-7.616581	0.585562
-57.652196	17.454071	0.590566
-58.598365	19.199319	0.595571
-59.912896	-27.655324	0.600576
-60.642080	54.237037	0.605581
-61.606654	44.637659	0.610586
-62.822589	14.400306	0.615590
-63.699452	-10.325157	0.620595
-64.770702	-72.533205	0.625600
-65.891050	-40.348263	0.630605
-66.819748	-53.868435	0.635610
-67.797845	-78.835551	0.640614
-68.988731	41.084615	0.645619
-69.699696	-21.883042	0.650624
-70.948524	-24.646940	0.655629
-71.975053	2.958891	0.660634
-73.003603	14.253390	0.665638
-73.867692	49.835682	0.670643
-75.142779	-15.198346	0.675648
-76.164218	-26.332113	0.680653
-77.100921	-1.562685	0.685658
-78.293516	-26.808832	0.690662
-78.984192	28.472752	0.695667
-79.675069	9.686244	0.700672
-81.127044	-40.404667	0.705677
-81.883814	48.550445	0.710682
-82.859998	105.356026	0.715686
-83.629294	-21.261800	0.720691
-84.425462	-60.960507	0.725696
-85.973179	27.319575	0.730701
-87.050388	-44.984343	0.735706
-87.894307	-14.319996	0.740710
-88.962311	-10.579395	0.745715
-90.293780	52.458848	0.750720
-91.072607	13.505933	0.755725
-91.872419	-37.930713	0.760730
-93.083024	-20.235822	0.765734
-94.128646	19.767142	0.770739
-95.046308	-33.308868	0.775744
-96.031191	-88.604818	0.780749
-97.109080	-2.073146	0.785754
-98.000933	-58.565446	0.790758
-98.861967	-32.568448	0.795763
-99.991009	4.756298	0.800768
-101.287301	27.679261	0.805773
-102.485882	3.074193	0.810778
-103.054246	30.201105	0.815782
-104.154042	5.951361	0.820787
-105.192337	-65.388165	0.825792
-106.286533	-29.503350	0.830797
-107.251168	42.795944	0.835802
-108.014062	-24.175766	0.840806
-109.247133	-3.654351	0.845811
-110.075773	-39.971954	0.850816
-111.284078	-50.892615	0.855821
-112.381253	-27.472525	0.860826
-112.763752	12.032883	0.865830
-113.589028	-53.151309	0.870835
-115.036949	-3.253983	0.875840
-116.153273	-15.483327	0.880845
-116.985028	-16.394545	0.885850
-117.938851	-3.633964	0.890854
-119.328762	27.012911	0.895859
-120.051808	24.687177	0.900864
-120.933043	-12.652670	0.905869
-122.250795	39.982531	0.910874
-123.101571	31.147196	0.915878
-124.199159	-14.965269	0.920883
-125.007628	-15.094959	0.925888
-126.206935	18.720458	0.930893
-127.182844	-33.934948	0.935898
-128.092216	-14.686967	0.940902
-129.066931	41.391478	0.945907
-130.032054	-65.603269	0.950912
-131.137119	-2.502970	0.955917
-131.919980	-69.405077	0.960922
-133.134978	13.827633	0.965926
-134.157162	-33.650518	0.970931
-135.085761	-73.755623	0.975936
-136.134344	15.497641	0.980941
-137.220273	15.060014	0.985946
-138.239232	-14.704022	0.990950
-139.206324	2.621450	0.995955
-139.938938	-80.208502	1.000960
-141.217105	-33.938522	1.005965
-142.182567	-10.412032	1.010970
-143.037673	-25.998616	1.015974
-144.021298	-27.309872	1.020979
-144.826128	17.887128	1.025984
-145.849008	-47.105430	1.030989
-147.015456	-26.756469	1.035994
-148.123285	6.665084	1.040998
-148.992579	-6.298294	1.046003
-150.230968	-30.488757	1.051008
-151.091636	3.977570	1.056013
-152.062844	-46.737320	1.061018
-153.103476	-14.992034	1.066022
-154.085742	-21.578155	1.071027
-155.049379	-27.644316	1.076032
-156.092492	-8.977826	1.081037
-157.312091	-68.429419	1.086042
-158.096283	-2.229233	1.091046
-159.183817	23.468099	1.096051
-160.257210	18.904547	1.101056
-161.335690	-5.151517	1.106061
-162.143101	-5.820128	1.111066
-162.987286	-67.614989	1.116070
-164.224978	1.844208	1.121075
-164.965291	-24.317133	1.126080
-166.158535	-13.468130	1.131085
-167.075804	24.562795	1.136090
-168.396391	-83.978757	1.141094
-169.235785	14.588276	1.146099
-170.349600	-94.498567	1.151104
-171.070691	-39.933396	1.156109
-172.245352	4.723584	1.161114
-173.241375	-33.855381	1.166118
-174.186178	-29.992734	1.171123
-175.220924	-4.313044	1.176128
-176.177413	-45.699053	1.181133
-177.198582	-36.386010	1.186138
-178.314617	18.762709	1.191142
-179.296874	-52.194225	1.196147
-180.543964	26.789858	1.201152
-181.211349	-0.686311	1.206157
-182.434454	-3.921659	1.211162
-183.494102	36.362070	1.216166
-184.157622	12.580489	1.221171
-185.185368	2.890189	1.226176
-186.389242	8.844276	1.231181
-187.198404	-0.042284	1.236186
-188.374984	14.033610	1.241190
-189.246048	-25.338863	1.246195
-190.480647	-77.819361	1.251200
-191.364202	-34.425079	1.256205
-192.518963	7.143356	1.261210
-193.583918	-35.158375	1.266214
-194.211550	29.749221	1.271219
-195.289884	3.676226	1.276224
-196.169926	-42.796775	1.281229
-197.413539	2.296879	1.286234
-198.419252	2.834980	1.291238
-199.120998	-15.320966	1.296243
-200.552015	-4.166534	1.301248
-201.464745	29.465544	1.306253
-202.239347	-2.998491	1.311258
-203.276406	64.238959	1.316262
-204.077882	-9.810450	1.321267
-205.284621	5.102522	1.326272
-206.140740	16.953782	1.331277
-207.279643	-18.307189	1.336282
-208.172903	4.406119	1.341286
-208.962111	-69.947841	1.346291
-210.221670	22.308090	1.351296
-211.345152	-4.839629	1.356301
-212.024304	-24.080534	1.361306
-213.520412	-1.089907	1.366310
-213.998279	29.990958	1.371315
-215.098530	-34.787308	1.376320
-216.086618	-1.844071	1.381325
-217.530260	-21.141819	1.386330
-218.158368	-17.610666	1.391334
-219.717049	6.290514	1.396339
-220.669401	-6.995464	1.401344
-221.453346	-47.273925	1.406349
-222.445954	-5.208490	1.411354
-223.288332	-0.377679	1.416358
-224.308696	-43.871819	1.421363
-225.502253	-11.335727	1.426368
-226.501068	-3.307811	1.431373
-227.464285	-22.904412	1.436378
-228.396731	21.233166	1.441382
-229.474410	-21.966141	1.446387
-230.372213	-17.605322	1.451392
