Thu Apr 10 14:51:48 2025


Number of Points = 3866

Depth (nm)	Load (µN)	Time (s)
75.298734	1924.433740	0.000000
75.419996	1866.648424	0.005005
75.320615	1800.035649	0.010010
74.666846	1958.889055	0.015014
74.636150	1785.032076	0.020019
74.493750	1869.379345	0.025024
74.324752	1909.510800	0.030029
73.956381	1902.152084	0.035034
74.086427	1696.137765	0.040038
73.831468	1727.246352	0.045043
73.496280	1860.145591	0.050048
73.184439	1683.889151	0.055053
72.276408	1643.831277	0.060058
71.744087	1630.420317	0.065062
71.492332	1798.989653	0.070067
70.737025	1567.262182	0.075072
69.963150	1669.071387	0.080077
69.674003	1707.273516	0.085082
69.276975	1544.898530	0.090086
68.904866	1672.233172	0.095091
68.124057	1528.826273	0.100096
67.427520	1461.432430	0.105101
66.933989	1324.688211	0.110106
66.382048	1483.691479	0.115110
65.650880	1428.617036	0.120115
64.365292	1167.286332	0.125120
63.319652	1280.741730	0.130125
63.172849	1287.185885	0.135130
62.632648	1279.453442	0.140134
61.833977	1267.875545	0.145139
60.814975	1200.758938	0.150144
60.060171	1140.323871	0.155149
58.815594	1033.872809	0.160154
58.017805	981.134569	0.165158
57.469428	1045.655714	0.170163
56.874449	983.380138	0.175168
56.075726	1016.125450	0.180173
55.285708	1035.266579	0.185178
53.936519	870.245673	0.190182
53.190218	823.178703	0.195187
52.023859	762.100794	0.200192
51.407593	833.388249	0.205197
50.729781	860.154971	0.210202
49.655347	717.964481	0.215206
48.810379	733.635904	0.220211
47.635602	714.476995	0.225216
47.217994	666.994471	0.230221
46.060654	629.415880	0.235226
44.586529	584.054974	0.240230
43.618457	662.878549	0.245235
42.720444	570.290530	0.250240
42.028346	466.820972	0.255245
41.192118	356.674607	0.260250
40.413811	414.395074	0.265254
38.932509	386.775752	0.270259
37.882435	405.609372	0.275264
36.878470	417.739678	0.280269
36.114284	225.220908	0.285274
35.484609	217.675079	0.290278
34.406924	247.187152	0.295283
32.746413	296.819991	0.300288
32.108443	189.896125	0.305293
31.060512	187.452691	0.310298
29.716982	127.848570	0.315302
28.720983	50.890294	0.320307
27.789563	162.676409	0.325312
27.182243	112.458411	0.330317
25.802555	105.563012	0.335322
25.052955	146.709843	0.340326
23.641021	4.749721	0.345331
22.603191	-79.619401	0.350336
21.504480	-143.542050	0.355341
20.244919	-0.846043	0.360346
19.158487	31.900121	0.365350
18.345639	-14.373732	0.370355
16.841324	11.967861	0.375360
15.653405	-96.514654	0.380365
14.387142	-262.866184	0.385370
13.359927	-183.450994	0.390374
12.474970	-140.284437	0.395379
11.188755	-36.837500	0.400384
10.072462	74.741142	0.405389
8.968607	47.059031	0.410394
8.175258	27.261175	0.415398
7.286941	-17.981117	0.420403
6.338506	-147.619179	0.425408
4.609508	-183.261285	0.430413
3.441297	-148.756708	0.435418
2.739455	-94.838239	0.440422
1.303900	-95.883236	0.445427
0.204481	44.797115	0.450432
-0.977590	23.222762	0.455437
-1.639286	10.850108	0.460442
-2.391593	15.764769	0.465446
-3.376830	-62.040245	0.470451
-4.523893	-78.888451	0.475456
-5.932229	9.586461	0.480461
-6.981545	-90.248029	0.485466
-7.875772	18.774864	0.490470
-8.821927	120.996579	0.495475
-10.268523	4.124695	0.500480
-11.172335	-65.200805	0.505485
-12.026663	28.614437	0.510490
-12.754446	112.437336	0.515494
-14.008766	-41.337816	0.520499
-15.362999	2.010881	0.525504
-16.050374	16.841865	0.530509
-17.001184	33.148415	0.535514
-18.061182	-5.048592	0.540518
-19.103017	55.796703	0.545523
-20.312349	-91.473969	0.550528
-21.211423	79.541039	0.555533
-21.842367	-65.304125	0.560538
-23.074444	-34.684292	0.565542
-24.354166	-33.999824	0.570547
-25.041744	-25.194034	0.575552
-26.097916	-6.252161	0.580557
-27.170822	-75.652297	0.585562
-28.502722	-39.323855	0.590566
-29.299109	42.009102	0.595571
-30.154260	-24.995063	0.600576
-30.959570	-59.395547	0.605581
-32.387993	42.599447	0.610586
-33.559349	71.036610	0.615590
-34.150819	-103.491568	0.620595
-35.304340	39.975799	0.625600
-36.500832	17.437712	0.630605
-37.155984	-61.033636	0.635610
-38.363785	-49.735151	0.640614
-39.448283	-86.604874	0.645619
-40.694692	65.369072	0.650624
-41.268365	-7.179399	0.655629
-41.955267	-122.391489	0.660634
-43.073417	73.616442	0.665638
-44.428464	-54.023377	0.670643
-45.624040	-20.671719	0.675648
-46.695085	-33.351160	0.680653
-47.637115	82.319690	0.685658
-48.302707	-45.088015	0.690662
-49.382556	-70.252503	0.695667
-50.318675	-31.224799	0.700672
-51.183248	-100.263033	0.705677
-52.694490	52.080623	0.710682
-53.398615	-106.296486	0.715686
-54.541642	42.967689	0.720691
-55.564945	-78.182428	0.725696
-56.304114	-119.992589	0.730701
-57.416393	41.636795	0.735706
-58.097998	-14.637236	0.740710
-59.540733	-160.228967	0.745715
-60.817857	32.981641	0.750720
-61.665277	-18.555473	0.755725
-62.522435	-78.745802	0.760730
-63.310870	37.354769	0.765734
-64.638058	22.723420	0.770739
-65.362172	26.322596	0.775744
-66.228134	-24.345741	0.780749
-67.552064	25.580995	0.785754
-68.993255	-1.425261	0.790758
-69.731408	-82.112468	0.795763
-70.807508	91.136975	0.800768
-71.635120	-75.261865	0.805773
-72.671265	14.414087	0.810778
-73.462710	28.517529	0.815782
-74.385941	-21.100328	0.820787
-75.310270	-24.728255	0.825792
-76.795007	54.197389	0.830797
-77.922429	-90.050000	0.835802
-78.508869	-127.629679	0.840806
-79.382446	-84.928973	0.845811
-80.450493	-11.724346	0.850816
-81.524925	64.332817	0.855821
-83.002912	-139.055946	0.860826
-83.758480	-101.994924	0.865830
-84.309302	158.420609	0.870835
-84.999286	122.418942	0.875840
-86.782839	15.467166	0.880845
-87.725203	-104.428299	0.885850
-89.036507	20.172387	0.890854
-89.710876	-68.280192	0.895859
-90.531666	-132.226264	0.900864
-91.316998	7.480306	0.905869
-92.939835	13.042690	0.910874
-94.073087	49.249025	0.915878
-94.467407	-60.441936	0.920883
-95.285766	55.906319	0.925888
-96.685688	1.360216	0.930893
-98.034097	-47.902736	0.935898
-98.824689	130.108075	0.940902
-99.443101	-64.243242	0.945907
-100.616263	42.573218	0.950912
-101.702823	-47.572866	0.955917
-102.693470	-52.809788	0.960922
-103.437672	10.205039	0.965926
-104.542420	-143.430983	0.970931
-106.182181	12.255756	0.975936
-106.929580	-41.858366	0.980941
-107.774045	-42.493963	0.985946
-108.770696	-60.779383	0.990950
-109.532850	41.611958	0.995955
-110.354957	86.071003	1.000960
-111.705079	14.188761	1.005965
-113.020701	-14.915460	1.010970
-113.638602	-104.411688	1.015974
-114.998870	26.824544	1.020979
-115.512625	-109.208532	1.025984
-116.731444	43.881349	1.030989
-117.704761	-9.938467	1.035994
-118.516056	-20.060520	1.040998
-119.636287	-151.533961	1.046003
-120.975743	-27.130256	1.051008
-121.935590	-28.427218	1.056013
-122.728688	25.116169	1.061018
-123.554005	-12.083617	1.066022
-124.519365	-42.804962	1.071027
-125.680213	-87.011383	1.076032
