Mon Apr 28 15:53:10 2025


Number of Points = 8481

Depth (nm)	Load (µN)	Time (s)
9.722564	1986.230796	0.000000
9.811172	1990.600671	0.005005
9.718457	1994.567013	0.010010
9.415200	1998.089382	0.015014
9.571516	1963.533891	0.020019
9.306820	2100.754682	0.025024
9.084630	1959.099919	0.030029
9.129575	1865.632072	0.035034
8.626858	1930.537782	0.040038
8.622443	1900.232871	0.045043
8.256917	1848.622905	0.050048
7.693858	1899.202746	0.055053
7.682070	1636.412399	0.060058
7.419925	1574.069193	0.065062
6.570508	1618.102874	0.070067
6.335351	1699.419834	0.075072
5.973931	1751.135322	0.080077
5.528035	1531.138802	0.085082
5.056149	1622.005670	0.090086
4.558438	1456.365064	0.095091
3.959372	1419.642580	0.100096
3.387889	1275.188995	0.105101
2.719475	1406.662911	0.110106
2.156016	1247.648433	0.115110
1.464338	1257.538607	0.120115
1.006117	1188.508554	0.125120
0.323310	1140.212790	0.130125
-0.359705	1045.799534	0.135130
-1.087685	997.719527	0.140134
-1.630323	858.521313	0.145139
-2.441907	915.971495	0.150144
-3.211162	905.340512	0.155149
-3.920477	750.312143	0.160154
-4.841432	756.419294	0.165158
-5.483773	661.267703	0.170163
-6.502292	645.495113	0.175168
-7.153477	550.960856	0.180173
-8.102013	456.725972	0.185178
-9.026243	484.420243	0.190182
-9.674731	369.540121	0.195187
-10.666722	356.615404	0.200192
-11.592903	354.718715	0.205197
-12.569569	263.062325	0.210202
-13.575990	263.184195	0.215206
-14.505711	196.957109	0.220211
-15.666237	107.554736	0.225216
-16.641967	51.979629	0.230221
-17.687048	129.173900	0.235226
-18.706278	139.472770	0.240230
-19.897137	54.465501	0.245235
-21.159764	49.072275	0.250240
-22.391134	0.184247	0.255245
-23.375563	33.710857	0.260250
-24.473459	-31.946092	0.265254
-25.798011	-95.022168	0.270259
-26.942044	-129.832418	0.275264
-28.288412	32.826204	0.280269
-29.382168	-26.893865	0.285274
-30.880550	7.153771	0.290278
-31.612852	-12.371183	0.295283
-32.692646	-46.438628	0.300288
-33.863726	85.506622	0.305293
-34.910910	-25.480709	0.310298
-36.394032	9.864802	0.315302
-37.218870	30.347120	0.320307
-38.309050	2.083494	0.325312
-39.708617	11.831877	0.330317
-40.496217	-77.354856	0.335322
-41.808077	-1.225191	0.340326
-43.091704	59.035011	0.345331
-44.074828	-61.857849	0.350336
-44.896977	-50.484246	0.355341
-46.222693	-35.285637	0.360346
-47.431496	-33.430378	0.365350
-48.341632	22.935086	0.370355
-49.382085	2.033981	0.375360
-50.542757	-23.750729	0.380365
-51.512637	-24.630535	0.385370
-52.449752	41.077213	0.390374
