Tue Apr 22 14:55:23 2025


Number of Points = 8469

Depth (nm)	Load (µN)	Time (s)
27.005766	1787.716212	0.000000
27.427952	1962.961245	0.005005
27.261148	1901.003114	0.010010
27.226499	1936.835979	0.015014
27.499256	1939.638078	0.020019
26.906340	1898.949480	0.025024
27.280006	1932.612626	0.030029
27.121657	1660.835800	0.035034
26.535469	1683.051026	0.040038
26.771790	1847.108230	0.045043
26.129726	1765.430643	0.050048
26.197243	1924.848160	0.055053
25.583569	1756.212144	0.060058
25.434248	1753.070132	0.065062
25.166607	1615.951189	0.070067
24.678155	1749.949894	0.075072
24.743399	1628.465071	0.080077
23.928799	1407.594500	0.085082
23.591252	1455.043995	0.090086
22.970489	1400.998176	0.095091
22.477063	1398.249895	0.100096
22.127715	1332.397150	0.105101
21.347102	1268.546754	0.110106
21.006956	1192.606052	0.115110
20.273976	1187.998118	0.120115
19.587166	1066.323608	0.125120
19.030200	1106.255534	0.130125
18.681204	933.764498	0.135130
17.910484	947.022067	0.140134
17.155669	743.602278	0.145139
16.331145	759.734565	0.150144
15.852317	763.696363	0.155149
14.710634	645.187140	0.160154
14.355094	639.297288	0.165158
13.856240	602.387503	0.170163
12.943196	410.651170	0.175168
11.921626	400.805649	0.180173
10.954797	417.374876	0.185178
10.330536	175.593609	0.190182
9.584834	249.613643	0.195187
8.037459	146.705654	0.200192
7.594819	226.371778	0.205197
6.167328	108.803123	0.210202
5.177104	126.131824	0.215206
4.715298	79.451319	0.220211
3.229690	32.358057	0.225216
1.936611	-17.970605	0.230221
0.701028	10.529034	0.235226
-0.154636	-62.023043	0.240230
-1.522860	-8.698591	0.245235
-3.271379	-85.378898	0.250240
-4.003490	-40.165095	0.255245
-5.314994	47.114558	0.260250
-6.464898	-60.000123	0.265254
-7.840115	-26.804891	0.270259
-8.841434	-35.216398	0.275264
-9.803840	-56.932881	0.280269
-11.319274	34.838922	0.285274
-12.044980	55.346523	0.290278
-13.546131	-46.548928	0.295283
-13.887966	51.046310	0.300288
-15.026767	-22.924485	0.305293
-16.814539	85.164118	0.310298
-17.923870	34.997876	0.315302
-19.344334	9.680332	0.320307
-20.125513	5.402532	0.325312
-21.195995	-24.757947	0.330317
-22.253517	7.651879	0.335322
-23.290055	-37.791223	0.340326
-24.578780	59.653034	0.345331
-25.389592	-3.193168	0.350336
-26.326757	-17.289050	0.355341
-27.422542	-60.820095	0.360346
-28.504024	37.442379	0.365350
-29.761086	40.005122	0.370355
-30.962781	-0.658459	0.375360
-31.905119	12.482197	0.380365
-33.005299	-84.652311	0.385370
-33.472218	28.670100	0.390374
-34.641363	-7.018677	0.395379
-36.013754	20.099973	0.400384
-36.913925	-38.856923	0.405389
-37.885050	-65.881923	0.410394
-39.077781	14.316519	0.415398
-40.084418	3.376401	0.420403
-41.112789	51.849121	0.425408
-42.247643	51.213039	0.430413
-43.491764	-11.108463	0.435418
-43.860144	-67.980353	0.440422
-44.736867	-8.235022	0.445427
-46.398596	-17.284027	0.450432
-47.142303	38.995776	0.455437
-47.959259	-34.108140	0.460442
-49.014743	110.259420	0.465446
-50.376457	134.054824	0.470451
-51.150303	-26.167831	0.475456
-52.245253	-28.370969	0.480461
-53.176341	103.977593	0.485466
-54.369141	-66.636526	0.490470
-55.085538	50.492314	0.495475
-56.173921	-49.552645	0.500480
-57.595345	-24.972707	0.505485
-58.219266	-0.904613	0.510490
-59.339856	41.561568	0.515494
-60.353866	60.151374	0.520499
-61.221450	-72.741204	0.525504
-62.046124	-85.084102	0.530509
-63.684404	142.139935	0.535514
-64.032988	-3.396224	0.540518
-65.263841	105.203017	0.545523
-66.886647	158.866172	0.550528
-67.392627	1.770993	0.555533
-68.487987	75.898089	0.560538
-69.689504	10.016766	0.565542
-70.296951	-33.118091	0.570547
-71.426750	-94.776891	0.575552
-72.591847	29.095366	0.580557
-73.421506	8.486023	0.585562
-74.304713	85.258767	0.590566
-75.457108	56.016023	0.595571
-76.238072	-19.968972	0.600576
-77.197418	-47.273472	0.605581
-78.363440	-25.161360	0.610586
-79.297060	-8.753878	0.615590
-80.374768	-28.050266	0.620595
-81.341179	37.012675	0.625600
-82.249052	-6.532632	0.630605
-83.544998	22.664616	0.635610
-84.278095	-14.438936	0.640614
-85.448897	-14.235655	0.645619
-86.487416	16.714708	0.650624
-87.616179	17.742899	0.655629
-88.735176	-106.982703	0.660634
-89.384391	-87.002415	0.665638
-90.493335	78.742605	0.670643
-91.628541	-53.882591	0.675648
-92.713223	-95.324951	0.680653
-93.461232	18.382084	0.685658
-94.388301	-95.711015	0.690662
-95.489461	-65.202734	0.695667
-96.568150	-46.853742	0.700672
-97.601689	34.943905	0.705677
-98.477583	-70.648197	0.710682
-99.348150	-9.539364	0.715686
-100.304718	18.376307	0.720691
-101.364282	-101.483945	0.725696
-102.109435	-28.041171	0.730701
-103.875922	-4.357132	0.735706
-104.798193	-58.495509	0.740710
-105.684199	52.903983	0.745715
-106.606628	-117.714495	0.750720
-107.594708	88.953713	0.755725
-108.663774	-28.786499	0.760730
-109.531918	34.814618	0.765734
-110.843965	-108.322521	0.770739
-111.408637	-16.776974	0.775744
-112.436483	-103.525432	0.780749
-113.679270	160.894712	0.785754
-114.569016	219.831052	0.790758
-115.520440	139.694951	0.795763
-116.578365	189.318397	0.800768
-117.582005	111.630710	0.805773
-118.721452	-126.787068	0.810778
-119.753299	23.184140	0.815782
-120.424650	128.146339	0.820787
-121.741764	-106.640241	0.825792
-122.566167	-102.371673	0.830797
-123.639541	50.507838	0.835802
-124.649791	4.918317	0.840806
-125.370808	41.635125	0.845811
-126.807715	-47.816643	0.850816
-127.234246	-46.315545	0.855821
-128.383946	58.209384	0.860826
-129.957035	-10.425127	0.865830
-130.825573	25.841268	0.870835
-131.620418	-63.041834	0.875840
-132.367112	-45.570973	0.880845
-133.352654	40.469621	0.885850
-134.610140	79.024526	0.890854
-136.063420	160.791653	0.895859
-136.452268	23.412357	0.900864
-137.938545	-35.204814	0.905869
-138.118968	-27.211384	0.910874
-139.892437	-70.233280	0.915878
-140.455698	131.591557	0.920883
-141.691957	12.894062	0.925888
-142.828564	-181.201633	0.930893
-143.842650	38.566093	0.935898
-144.981389	44.471165	0.940902
-145.211810	-79.056362	0.945907
-146.527487	-77.374866	0.950912
-147.971264	-10.118357	0.955917
-148.659109	50.527080	0.960922
-149.857503	-44.155317	0.965926
-150.620590	-0.834639	0.970931
-151.495442	-29.583483	0.975936
-153.101987	7.901263	0.980941
-153.319194	-115.342430	0.985946
-154.738291	-37.583989	0.990950
-155.741960	53.486443	0.995955
-156.518611	4.897868	1.000960
-157.583561	-30.387563	1.005965
-158.235775	11.930429	1.010970
-159.691019	36.723047	1.015974
-160.784864	-82.436129	1.020979
-161.771745	108.221854	1.025984
-162.752115	117.517643	1.030989
-163.892033	-3.630531	1.035994
-164.702723	-56.165897	1.040998
-165.898295	-16.592543	1.046003
-166.945948	90.954264	1.051008
-167.578504	-89.422394	1.056013
-168.661356	31.540526	1.061018
-169.551340	26.436224	1.066022
-170.947017	-41.118872	1.071027
-171.981378	88.659550	1.076032
-172.393987	-48.986547	1.081037
-173.732867	-52.358003	1.086042
-174.787612	50.731292	1.091046
-175.724931	-26.627587	1.096051
-176.774431	11.956079	1.101056
-177.777921	-52.890061	1.106061
-178.483315	-78.552617	1.111066
-180.107941	76.884415	1.116070
-180.966217	23.275387	1.121075
-181.979430	2.666943	1.126080
-182.985750	39.995617	1.131085
-183.984339	-33.546298	1.136090
-185.290784	-31.542056	1.141094
-185.928189	54.867565	1.146099
-187.063862	-81.865624	1.151104
-187.909428	-76.938134	1.156109
-188.954001	41.142947	1.161114
-189.755745	8.260053	1.166118
-190.689578	-37.530712	1.171123
-191.367210	45.096901	1.176128
-192.932371	-1.554161	1.181133
-193.725651	60.317749	1.186138
-194.586749	-27.364828	1.191142
-196.032807	-90.141838	1.196147
-196.435126	15.767087	1.201152
-197.930102	15.618886	1.206157
-198.701980	-27.308673	1.211162
-199.482433	33.393706	1.216166
-200.843505	3.371602	1.221171
-201.828303	13.195170	1.226176
-202.865919	20.067909	1.231181
-204.021279	-3.172409	1.236186
-204.561139	-10.138322	1.241190
-205.990578	-8.029024	1.246195
-206.655691	-33.642761	1.251200
-207.944083	26.733247	1.256205
-208.910075	64.198508	1.261210
-210.350291	13.508291	1.266214
-210.782253	6.279775	1.271219
-211.859539	-48.606547	1.276224
-212.899463	-4.188305	1.281229
-214.068583	30.979108	1.286234
-214.851489	-4.666188	1.291238
-215.800046	32.116557	1.296243
-216.635126	-25.208290	1.301248
-217.915755	-4.922712	1.306253
-218.619184	-0.194333	1.311258
-219.824465	10.757463	1.316262
-220.773659	-89.722500	1.321267
-221.835004	33.538183	1.326272
-222.878484	-71.406774	1.331277
-223.935655	-17.248803	1.336282
-224.649945	29.362558	1.341286
-225.897022	-24.212588	1.346291
-227.168894	-30.450534	1.351296
-227.844886	14.782135	1.356301
-229.206161	30.422814	1.361306
-229.944065	-64.642896	1.366310
-231.131627	42.100078	1.371315
-231.905767	4.171818	1.376320
-233.082629	25.561789	1.381325
-233.897279	-50.811651	1.386330
-234.702607	-38.556784	1.391334
-236.112402	21.635607	1.396339
-237.121188	16.860570	1.401344
-238.012066	-52.734319	1.406349
-238.751646	44.584255	1.411354
-240.053490	5.434546	1.416358
-241.300481	57.904252	1.421363
-241.850515	92.107185	1.426368
-243.303497	-83.263870	1.431373
-243.993234	13.699173	1.436378
-245.081908	20.326579	1.441382
-246.053179	37.787413	1.446387
-247.061573	19.445056	1.451392
-247.935204	-19.638963	1.456397
-248.677633	-9.247214	1.461402
-249.702327	-81.401598	1.466406
-250.768756	-5.091903	1.471411
-251.470674	-59.493328	1.476416
-252.429682	-42.136977	1.481421
-253.714861	25.316093	1.486426
-255.013049	-8.823780	1.491430
-255.736069	80.759867	1.496435
-257.055716	-50.560469	1.501440
-257.863555	-28.721201	1.506445
-258.895920	7.915101	1.511450
-260.072227	11.766589	1.516454
-260.888850	29.875775	1.521459
-261.752691	-24.394802	1.526464
-262.389697	-16.319295	1.531469
-264.227796	26.068889	1.536474
-265.214639	-52.813246	1.541478
-266.241853	51.632275	1.546483
-266.926025	20.287649	1.551488
-268.056989	40.910343	1.556493
-268.988320	4.076117	1.561498
-269.850742	37.572261	1.566502
-271.172720	5.645481	1.571507
-271.907479	-50.072491	1.576512
-272.909034	7.937525	1.581517
-274.300752	28.236594	1.586522
-275.421120	-16.274443	1.591526
-276.106085	0.185929	1.596531
-277.211678	18.970901	1.601536
-278.077058	75.656441	1.606541
-278.932129	19.140390	1.611546
-279.678452	-59.298296	1.616550
-280.971717	-52.900976	1.621555
-281.567079	62.232143	1.626560
-283.436808	2.908584	1.631565
-284.018321	-27.932577	1.636570
-285.471681	21.476421	1.641574
-285.907168	171.155899	1.646579
-287.312001	132.417517	1.651584
-287.753359	-54.313364	1.656589
-289.204180	-20.326528	1.661594
-290.529723	23.200717	1.666598
-291.166573	134.853375	1.671603
-292.205110	234.367938	1.676608
-293.100292	24.942380	1.681613
-293.867747	-69.611727	1.686618
-295.043884	14.390175	1.691622
-296.325721	-159.673184	1.696627
-297.211208	-169.125489	1.701632
-298.275685	-145.243589	1.706637
-299.348786	-55.126518	1.711642
-299.910848	-41.940509	1.716646
-301.298675	-71.388943	1.721651
-302.263870	145.494307	1.726656
-303.263896	15.028462	1.731661
-304.541755	-146.120532	1.736666
-305.235774	78.535788	1.741670
-306.265979	-32.088362	1.746675
-307.196283	-133.250599	1.751680
-307.922318	-17.233580	1.756685
-309.251148	-81.102493	1.761690
-310.207101	134.574831	1.766694
-311.225212	217.345594	1.771699
-312.349950	-81.308357	1.776704
-313.260860	21.819269	1.781709
-314.240146	71.428541	1.786714
-315.010416	-56.948656	1.791718
-316.001620	84.653504	1.796723
-317.407398	-109.010469	1.801728
-318.047762	117.143581	1.806733
-319.341184	31.076028	1.811738
-320.303695	21.838162	1.816742
-321.431478	-88.651757	1.821747
-321.837938	4.292678	1.826752
-323.371467	-77.545110	1.831757
-323.808433	5.024654	1.836762
-325.123592	-87.361218	1.841766
-326.457890	52.692786	1.846771
-327.411400	-170.252596	1.851776
-328.604307	-41.309537	1.856781
