Mon Apr 14 17:00:45 2025


Number of Points = 16378

Depth (nm)	Load (µN)	Time (s)
20.504019	1968.986734	0.000000
20.734779	2007.919343	0.005005
20.530645	2082.279728	0.010010
20.645568	1985.280672	0.015014
20.414100	2102.674857	0.020019
20.247906	2019.196208	0.025024
20.095711	1996.902657	0.030029
20.057133	1923.531646	0.035034
19.733262	1951.252228	0.040038
19.559293	1906.352372	0.045043
19.094473	1917.118463	0.050048
18.693179	1712.429090	0.055053
18.640048	1727.721224	0.060058
18.178722	1665.509051	0.065062
17.654584	1710.846447	0.070067
17.418183	1748.374213	0.075072
16.841409	1649.526925	0.080077
16.529425	1617.906931	0.085082
15.845267	1618.808736	0.090086
15.674462	1548.191905	0.095091
14.956377	1557.489378	0.100096
14.374682	1438.765954	0.105101
13.893901	1372.018462	0.110106
13.218370	1328.423672	0.115110
12.852466	1263.834959	0.120115
12.084205	1264.482866	0.125120
11.383570	1035.584062	0.130125
10.778773	1147.733406	0.135130
10.094516	1026.793623	0.140134
9.436249	1036.296449	0.145139
8.554047	939.930745	0.150144
7.862579	936.542716	0.155149
7.232836	872.023289	0.160154
6.445014	775.133026	0.165158
5.463210	751.136637	0.170163
4.721532	610.371519	0.175168
3.926649	655.195036	0.180173
3.110967	586.845962	0.185178
2.201387	513.810406	0.190182
1.474993	438.612572	0.195187
0.574740	466.364402	0.200192
-0.579631	270.021065	0.205197
-1.073883	310.190044	0.210202
-2.066867	164.661767	0.215206
-2.911289	208.693519	0.220211
-4.048339	171.960287	0.225216
-4.866514	106.153886	0.230221
-6.200173	76.155124	0.235226
-6.947457	74.681417	0.240230
-8.272281	-57.878638	0.245235
-9.343747	-44.911772	0.250240
-10.499517	-49.579548	0.255245
-11.595353	-165.396483	0.260250
-12.251445	-99.429241	0.265254
-13.802878	-163.829702	0.270259
-15.012479	-99.313264	0.275264
-16.353743	-188.289831	0.280269
-17.598688	-72.733108	0.285274
-18.974209	-132.605441	0.290278
-19.839847	-78.400341	0.295283
-21.298362	-96.038437	0.300288
-22.237248	-163.856326	0.305293
-23.530132	-122.943559	0.310298
-24.730707	-147.711391	0.315302
-26.080929	-84.568829	0.320307
-26.815784	-101.494070	0.325312
-27.589489	-109.910071	0.330317
-29.049887	-112.656818	0.335322
-30.151730	-130.293356	0.340326
-31.234696	-80.121013	0.345331
-32.602353	-107.061206	0.350336
-33.470001	-113.187639	0.355341
-34.476643	-117.341287	0.360346
-35.676510	-98.582293	0.365350
-36.693609	-57.021848	0.370355
-38.054462	-156.002517	0.375360
-38.888130	-108.364857	0.380365
-40.125289	-101.512355	0.385370
-41.020629	-154.710368	0.390374
-42.106011	-30.984745	0.395379
-43.000996	-124.706931	0.400384
-44.061073	-95.739388	0.405389
-45.216710	-63.837283	0.410394
-46.279843	-184.551061	0.415398
-47.351777	-91.756360	0.420403
-48.367380	-105.786154	0.425408
-49.381101	-23.364944	0.430413
-50.343829	-151.213195	0.435418
-51.309689	-95.848892	0.440422
-52.612424	-97.940425	0.445427
-53.513702	-188.769651	0.450432
-54.440047	-72.047646	0.455437
-55.376821	-56.134310	0.460442
-56.437183	-55.064714	0.465446
-57.556777	-137.038007	0.470451
-58.783176	-18.120944	0.475456
-59.753045	-39.504796	0.480461
-60.638356	-143.615944	0.485466
-61.580934	-70.377933	0.490470
-62.884060	-120.119420	0.495475
-63.705119	-108.060709	0.500480
-64.919563	-52.789586	0.505485
-65.877913	-63.866308	0.510490
-66.735839	-124.428103	0.515494
-67.870902	-29.284841	0.520499
-68.862863	-152.149351	0.525504
-69.875679	-46.328920	0.530509
-70.804180	-89.342826	0.535514
-71.992986	-11.662660	0.540518
-73.005086	-150.994161	0.545523
-74.096932	-74.328435	0.550528
-75.024119	-90.771009	0.555533
-76.024074	-52.494530	0.560538
-76.954591	-73.910005	0.565542
-78.093168	-54.063564	0.570547
-79.115871	-54.157495	0.575552
-79.907979	-74.348452	0.580557
-80.921030	-67.538281	0.585562
-81.912613	-155.159425	0.590566
-82.706897	-47.152328	0.595571
-83.974681	-40.502248	0.600576
-84.879250	-53.423544	0.605581
-85.859950	-85.314748	0.610586
