Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
63.046533	2013.827232	0.000000	1.526056	0.073605

63.089596	1915.048967	0.005005	1.526058	0.073528
62.708504	1993.548122	0.010010	1.526102	0.073589
62.678200	1921.794270	0.015014	1.526111	0.073533
62.367024	2015.006409	0.020019	1.526145	0.073605
61.755368	1883.361389	0.025024	1.526233	0.073502
61.548439	1944.382793	0.030029	1.526255	0.073550
61.084124	1974.771975	0.035034	1.526313	0.073574
60.758022	1908.991132	0.040038	1.526360	0.073522
60.190718	1896.182585	0.045043	1.526434	0.073512
59.788183	1889.608378	0.050048	1.526486	0.073507
59.073827	1836.169765	0.055053	1.526582	0.073465
59.057204	1910.174819	0.060058	1.526579	0.073523
58.700556	1795.810409	0.065062	1.526633	0.073433
57.701921	1723.024407	0.070067	1.526767	0.073376
57.332201	1776.477594	0.075072	1.526811	0.073418
56.536250	1625.497479	0.080077	1.526924	0.073300
56.073780	1679.199944	0.085082	1.526980	0.073342
55.884258	1653.208422	0.090086	1.527006	0.073322
54.980425	1678.479534	0.095091	1.527121	0.073341
54.261283	1700.336019	0.100096	1.527212	0.073358
53.610632	1573.304921	0.105101	1.527305	0.073259
53.403283	1371.468648	0.110106	1.527346	0.073101
52.564044	1365.782965	0.115110	1.527454	0.073097
51.916526	1434.725471	0.120115	1.527533	0.073150
51.195601	1391.214033	0.125120	1.527628	0.073116
50.464739	1201.834500	0.130125	1.527736	0.072968
49.631176	1325.493413	0.135130	1.527834	0.073064
48.929947	1013.598440	0.140134	1.527947	0.072821
48.385797	1003.235613	0.145139	1.528017	0.072813
47.485982	839.762759	0.150144	1.528145	0.072685
47.102652	1011.131072	0.155149	1.528182	0.072819
45.992056	960.659657	0.160154	1.528328	0.072779
45.509629	878.002214	0.165158	1.528396	0.072715
44.712669	877.639973	0.170163	1.528499	0.072714
43.907577	805.688347	0.175168	1.528608	0.072658
43.080304	654.462989	0.180173	1.528725	0.072540
42.549044	689.446130	0.185178	1.528791	0.072567
41.771593	383.436109	0.190182	1.528912	0.072328
41.227462	475.072394	0.195187	1.528976	0.072399
40.264108	325.471007	0.200192	1.529110	0.072282
39.642489	340.937086	0.205197	1.529189	0.072294
38.611935	149.657584	0.210202	1.529335	0.072145
37.835684	200.437498	0.215206	1.529432	0.072184
37.189423	87.986243	0.220211	1.529523	0.072096
35.823462	-0.595924	0.225216	1.529705	0.072027
35.073427	-52.785188	0.230221	1.529805	0.071986
34.181447	-61.719017	0.235226	1.529920	0.071979
32.802305	-254.650571	0.240230	1.530111	0.071828
31.562741	-191.887803	0.245235	1.530266	0.071877
30.227332	-362.327582	0.250240	1.530449	0.071744
29.160734	-277.311020	0.255245	1.530580	0.071810
27.840059	-151.085536	0.260250	1.530741	0.071908
26.818085	-162.629311	0.265254	1.530873	0.071898
25.186937	-63.098249	0.270259	1.531076	0.071976
23.875834	-182.211394	0.275264	1.531253	0.071882
22.740619	-355.326106	0.280269	1.531411	0.071747
21.697552	-334.985485	0.285274	1.531544	0.071763
20.444207	-293.228075	0.290278	1.531702	0.071795
19.394552	-94.758728	0.295283	1.531823	0.071949
17.875510	-207.534031	0.300288	1.532026	0.071861
16.501535	-152.216016	0.305293	1.532198	0.071904
15.576482	-180.177805	0.310298	1.532319	0.071882
14.225004	-212.159788	0.315302	1.532495	0.071857
13.529710	-170.698491	0.320307	1.532582	0.071889
11.804235	-140.303736	0.325312	1.532801	0.071912
10.808267	-158.738329	0.330317	1.532931	0.071897
9.693223	-190.885774	0.335322	1.533077	0.071872
8.766585	-54.140614	0.340326	1.533186	0.071978
7.605800	-200.081601	0.345331	1.533346	0.071864
6.450672	-150.372730	0.350336	1.533491	0.071903
5.102804	-168.585034	0.355341	1.533665	0.071888
3.898640	-310.769447	0.360346	1.533830	0.071777
3.177463	-219.803702	0.365350	1.533917	0.071848
2.120506	-182.402721	0.370355	1.534050	0.071877
1.092520	-160.008389	0.375360	1.534180	0.071894
-0.204898	-344.969730	0.380365	1.534360	0.071749
-1.207047	-340.696906	0.385370	1.534489	0.071752
-2.041410	-243.036968	0.390374	1.534589	0.071828
-3.106955	-209.762557	0.395379	1.534724	0.071854
-4.086833	-248.104630	0.400384	1.534853	0.071824
-4.895637	-163.641672	0.405389	1.534951	0.071889
-6.440669	-258.883083	0.410394	1.535156	0.071815
-7.063276	-130.009265	0.415398	1.535228	0.071915
-8.460885	4.789199	0.420403	1.535398	0.072020
-9.648136	-207.413677	0.425408	1.535565	0.071854
-10.632231	-191.396786	0.430413	1.535691	0.071866
-11.958745	-103.822423	0.435418	1.535855	0.071934
-12.718034	-202.138372	0.440422	1.535960	0.071857
-13.794036	-202.596185	0.445427	1.536098	0.071857
-14.631322	-43.975899	0.450432	1.536195	0.071980
-15.511805	-216.186863	0.455437	1.536321	0.071846
-16.900081	-323.698714	0.460442	1.536507	0.071762
-17.865292	-220.076806	0.465446	1.536624	0.071842
-18.706913	-128.708074	0.470451	1.536726	0.071913
-19.657469	-215.423652	0.475456	1.536854	0.071845
-21.003496	-257.943312	0.480461	1.537030	0.071812
-22.147285	-187.960483	0.485466	1.537172	0.071866
-22.981837	-222.177224	0.490470	1.537282	0.071839
-24.336793	-228.399291	0.495475	1.537457	0.071834
-25.189525	-258.261623	0.500480	1.537569	0.071810
-26.036883	-313.358535	0.505485	1.537682	0.071767
-26.764368	-234.597356	0.510490	1.537770	0.071828
-27.939924	-124.348712	0.515494	1.537913	0.071914
-28.983507	-342.503638	0.520499	1.538063	0.071744
-29.996988	-245.885822	0.525504	1.538187	0.071819
-31.021399	-213.431979	0.530509	1.538316	0.071844
-31.976831	-206.809404	0.535514	1.538439	0.071849
-32.660482	-158.945049	0.540518	1.538524	0.071886
-34.233692	-247.951661	0.545523	1.538732	0.071816
-35.046931	-223.244260	0.550528	1.538835	0.071835
-36.208247	-218.218099	0.555533	1.538984	0.071839
-37.213136	-276.353930	0.560538	1.539118	0.071793
-38.000264	-214.985129	0.565542	1.539215	0.071841
-39.007649	-255.251269	0.570547	1.539347	0.071809
-40.140423	-85.196951	0.575552	1.539481	0.071941
-40.970620	-199.819296	0.580557	1.539596	0.071852
-42.195240	-207.754743	0.585562	1.539754	0.071845
-43.018693	-237.257546	0.590566	1.539863	0.071822
-44.207724	-192.592776	0.595571	1.540012	0.071857
-45.272531	-148.150284	0.600576	1.540146	0.071891
-46.287264	-207.984829	0.605581	1.540281	0.071844
-47.064039	-92.230159	0.610586	1.540373	0.071934
-48.182063	-291.522139	0.615590	1.540531	0.071779
-49.158024	-191.744299	0.620595	1.540650	0.071856
-50.280632	-212.326681	0.625600	1.540796	0.071840
-51.240576	-327.374747	0.630605	1.540927	0.071750
-52.188256	-6.915569	0.635610	1.541027	0.071999
-53.333721	-308.695039	0.640614	1.541196	0.071764
-54.353971	-108.333486	0.645619	1.541313	0.071920
-55.216929	-317.763653	0.650624	1.541439	0.071756
-56.232635	-118.974106	0.655629	1.541556	0.071911
-57.334119	-336.909573	0.660634	1.541713	0.071741
-58.281179	-169.995380	0.665638	1.541823	0.071871
-59.285991	-227.518119	0.670643	1.541956	0.071826
-60.186885	-257.258087	0.675648	1.542075	0.071802
-61.120997	-200.038938	0.680653	1.542191	0.071847
-62.280794	-156.979100	0.685658	1.542337	0.071880
-63.264118	-233.535310	0.690662	1.542469	0.071820
-64.168466	-210.443279	0.695667	1.542584	0.071838
-65.166779	-191.143048	0.700672	1.542711	0.071852
-66.129150	-179.675430	0.705677	1.542835	0.071861
-67.192578	-225.422607	0.710682	1.542975	0.071825
-68.268248	-131.699262	0.715686	1.543107	0.071898
-69.026490	-144.186751	0.720691	1.543205	0.071888
-70.161809	-255.873800	0.725696	1.543359	0.071801
-71.442339	-178.656878	0.730701	1.543519	0.071861
-72.229446	-202.690798	0.735706	1.543622	0.071842
-73.010997	-214.701302	0.740710	1.543723	0.071832
-74.508108	-247.591987	0.745715	1.543918	0.071806
-75.170637	-49.312347	0.750720	1.543990	0.071960
-76.444851	-186.743920	0.755725	1.544164	0.071853
