Tue Apr 15 14:31:43 2025


Number of Points = 16383

Depth (nm)	Load (µN)	Time (s)
9.491913	1989.076229	0.000000
9.687887	2039.905195	0.005005
9.578897	2018.758092	0.010010
9.689611	1989.683947	0.015014
9.535634	2068.228270	0.020019
9.317273	1955.082458	0.025024
9.316005	1961.811781	0.030029
8.886075	1940.251761	0.035034
8.509819	1897.176710	0.040038
8.050046	1988.057116	0.045043
8.777262	1864.985411	0.050048
8.281766	1924.611016	0.055053
7.875185	1818.105868	0.060058
7.375965	1857.668510	0.065062
6.818136	1724.146963	0.070067
6.464815	1766.921586	0.075072
6.153724	1706.070668	0.080077
5.700780	1659.285393	0.085082
5.231858	1605.765438	0.090086
5.003848	1481.122876	0.095091
4.356450	1559.722522	0.100096
3.792252	1484.825227	0.105101
2.771444	1401.236904	0.110106
2.340553	1388.232689	0.115110
1.958904	1352.814295	0.120115
1.121643	1300.199597	0.125120
0.387514	1223.394593	0.130125
-0.036579	1148.852589	0.135130
-0.911858	1087.126804	0.140134
-1.311804	1029.098480	0.145139
-2.403637	974.172262	0.150144
-3.025803	854.939787	0.155149
-3.678730	863.230386	0.160154
-4.335175	792.934584	0.165158
-5.142121	739.065977	0.170163
-6.173255	721.542846	0.175168
-7.016830	629.200427	0.180173
-8.030061	559.061356	0.185178
-8.350485	517.585268	0.190182
-9.371766	502.387007	0.195187
-10.365388	421.278139	0.200192
-11.231966	370.884649	0.205197
-11.635650	254.943682	0.210202
-12.865963	295.634530	0.215206
-13.336033	184.127749	0.220211
-14.776280	170.495548	0.225216
-15.699971	183.819391	0.230221
-16.641913	24.616947	0.235226
-17.977278	32.889649	0.240230
-18.785694	33.503277	0.245235
-20.369078	76.889073	0.250240
-21.626068	56.857109	0.255245
-23.092481	84.478457	0.260250
-24.318610	17.390686	0.265254
-25.319170	58.962331	0.270259
-26.727983	26.746955	0.275264
-28.075255	92.870150	0.280269
-29.146112	67.857875	0.285274
-30.239006	100.837113	0.290278
-31.447721	24.732446	0.295283
-32.631220	-1.037070	0.300288
-33.603393	38.366239	0.305293
-34.772063	52.785144	0.310298
-35.750371	72.109524	0.315302
-36.830036	87.969491	0.320307
-37.800005	54.194258	0.325312
-39.093164	120.750202	0.330317
-40.309003	98.189054	0.335322
-41.444677	61.803033	0.340326
-42.713610	82.225159	0.345331
-43.750532	96.606672	0.350336
-44.349612	63.728360	0.355341
-45.723069	46.325935	0.360346
-46.935774	60.797080	0.365350
-47.621179	-7.277173	0.370355
-48.720944	67.887640	0.375360
-50.090690	106.509501	0.380365
-50.794972	66.125556	0.385370
-52.055601	76.294819	0.390374
-52.968900	13.715377	0.395379
-54.184389	82.692262	0.400384
-55.193032	-0.893961	0.405389
-56.067987	130.603539	0.410394
-57.390066	44.887190	0.415398
-58.315720	74.206556	0.420403
-59.304668	73.384697	0.425408
-60.360188	12.635976	0.430413
-61.313842	14.743538	0.435418
-62.307428	87.251243	0.440422
-63.076492	57.683475	0.445427
-64.350078	87.437558	0.450432
-65.312751	94.892246	0.455437
-66.359230	55.898597	0.460442
-67.465748	-7.955686	0.465446
-68.472691	75.620063	0.470451
-69.366359	40.405450	0.475456
-70.606641	29.967651	0.480461
-71.358879	19.167546	0.485466
-72.418916	36.310236	0.490470
-73.565546	43.375482	0.495475
-74.711215	-9.345771	0.500480
-75.586074	24.186938	0.505485
-76.699320	68.962658	0.510490
-77.535879	79.823526	0.515494
-78.616598	69.996085	0.520499
-79.643162	86.833624	0.525504
-80.675092	21.878238	0.530509
-81.768659	66.791370	0.535514
-82.851220	0.150783	0.540518
-83.911138	35.334467	0.545523
-84.774841	35.434831	0.550528
-85.511267	-1.533950	0.555533
-86.583104	68.809579	0.560538
-87.613539	19.241506	0.565542
-88.831486	76.129466	0.570547
-89.854340	149.091515	0.575552
-90.800661	20.397706	0.580557
-91.628751	65.372882	0.585562
-92.147843	59.977161	0.590566
-93.394481	3.941664	0.595571
-94.915924	41.162298	0.600576
-95.867551	74.138703	0.605581
-96.844953	80.315602	0.610586
-97.894026	64.983478	0.615590
-99.167805	27.267084	0.620595
-99.767209	27.342287	0.625600
-100.723092	68.204837	0.630605
-101.973004	47.501514	0.635610
-102.766909	55.169383	0.640614
-103.760790	37.935404	0.645619
-104.886016	34.030206	0.650624
-105.871540	3.902605	0.655629
-107.020510	7.520818	0.660634
-107.526814	10.393594	0.665638
-108.870426	26.372892	0.670643
-109.706345	-27.815172	0.675648
-110.941090	24.735507	0.680653
-111.860840	67.213100	0.685658
-113.091657	59.125329	0.690662
-113.852222	42.176818	0.695667
-115.167337	136.093016	0.700672
-115.940501	59.506221	0.705677
-116.989209	17.372327	0.710682
-117.744245	35.114758	0.715686
-119.170285	4.964669	0.720691
-119.843370	130.462912	0.725696
-120.853802	21.102027	0.730701
-121.920690	59.066675	0.735706
-122.889665	104.307887	0.740710
-123.937724	59.001064	0.745715
-124.635058	23.333545	0.750720
-125.734760	94.306103	0.755725
-126.891963	22.114923	0.760730
-127.897238	-45.045250	0.765734
-128.965258	68.869511	0.770739
-129.857284	23.517199	0.775744
-131.170335	40.681722	0.780749
-131.890659	38.056342	0.785754
-132.904893	38.682547	0.790758
-134.022836	22.591344	0.795763
-135.038802	46.521849	0.800768
-135.920788	41.115478	0.805773
-136.974222	32.812468	0.810778
-137.648393	-13.425640	0.815782
-138.772014	85.858472	0.820787
-139.645487	15.988569	0.825792
-141.122732	33.095097	0.830797
-142.028518	68.903714	0.835802
-143.253449	40.157471	0.840806
-143.976966	70.392459	0.845811
-144.954007	52.877757	0.850816
-145.946641	61.512985	0.855821
-146.778190	76.271033	0.860826
-148.002270	-11.842302	0.865830
-149.204275	114.301062	0.870835
-149.868465	85.887752	0.875840
-151.235542	79.416219	0.880845
-151.983816	58.915645	0.885850
-152.895868	-16.272814	0.890854
-153.866643	71.108399	0.895859
-154.771109	42.418376	0.900864
-155.869812	34.524761	0.905869
-156.758471	57.461880	0.910874
-157.757331	-4.744252	0.915878
-158.900945	46.819015	0.920883
-159.990020	43.872068	0.925888
-161.049365	76.133658	0.930893
-161.874091	18.662987	0.935898
-162.864986	40.288706	0.940902
-163.992100	26.347130	0.945907
-164.961128	37.277429	0.950912
-166.246524	12.324893	0.955917
-167.168524	13.652756	0.960922
-167.952068	82.204962	0.965926
-169.139574	104.653353	0.970931
-170.214007	30.839216	0.975936
-170.835049	24.795548	0.980941
-172.036738	46.378790	0.985946
-173.098367	29.674611	0.990950
-174.102533	46.793001	0.995955
-175.169238	8.169797	1.000960
-176.029044	50.552583	1.005965
-176.810977	22.729315	1.010970
-178.340255	20.241791	1.015974
-179.022130	33.542171	1.020979
-180.109695	4.030907	1.025984
-181.280182	78.500225	1.030989
-182.242834	67.226131	1.035994
-183.279164	62.847527	1.040998
-183.950374	41.257662	1.046003
-185.063694	60.978090	1.051008
-185.816853	16.743842	1.056013
-187.096432	73.502637	1.061018
-187.829375	41.614353	1.066022
-189.224848	39.401542	1.071027
-190.018538	68.965418	1.076032
-191.047038	30.548582	1.081037
-192.028348	20.062987	1.086042
-193.036488	65.079649	1.091046
-193.951519	58.989937	1.096051
-195.026869	59.073614	1.101056
-196.368627	48.689187	1.106061
-197.250684	60.767166	1.111066
-198.433723	36.081146	1.116070
-199.092817	15.088077	1.121075
-200.081177	-4.612701	1.126080
-200.933286	-15.673124	1.131085
-202.232644	-24.876361	1.136090
-203.106642	-11.680953	1.141094
-203.881191	12.407305	1.146099
-205.073147	24.250509	1.151104
-206.153231	-2.334468	1.156109
-207.044674	64.977130	1.161114
-208.127459	18.856473	1.166118
-209.125293	76.848268	1.171123
-210.064104	29.784831	1.176128
-211.117254	68.064503	1.181133
-212.200997	95.146854	1.186138
-213.057385	65.458645	1.191142
-213.868160	53.145460	1.196147
-214.995233	110.079032	1.201152
-216.227935	27.068998	1.206157
-217.059259	56.657997	1.211162
-218.122855	42.858304	1.216166
