Wed Apr 16 10:09:50 2025


Number of Points = 16398

Depth (nm)	Load (µN)	Time (s)
10.094037	2048.027678	0.000000
10.517411	2070.115253	0.005005
10.246674	2061.708293	0.010010
10.142074	2042.107230	0.015014
10.272835	2018.851373	0.020019
9.918784	2035.082250	0.025024
9.893226	1992.052810	0.030029
9.717353	1955.511813	0.035034
9.452793	1872.461594	0.040038
9.335665	1897.511712	0.045043
9.093079	1831.373406	0.050048
8.779447	1798.187426	0.055053
8.151282	1761.727377	0.060058
8.146455	1740.054522	0.065062
7.677443	1768.514477	0.070067
7.366245	1704.676652	0.075072
6.974530	1629.785824	0.080077
6.385960	1567.300593	0.085082
5.902927	1494.448355	0.090086
5.272835	1448.438092	0.095091
5.137576	1480.228227	0.100096
4.188613	1298.941602	0.105101
3.676613	1276.609882	0.110106
3.014177	1256.660437	0.115110
2.730429	1156.093925	0.120115
2.043248	1122.119772	0.125120
1.405349	1070.717594	0.130125
0.934430	949.694448	0.135130
-0.018843	968.818095	0.140134
-0.584570	875.890539	0.145139
-1.340993	786.416106	0.150144
-1.918146	758.021959	0.155149
-2.918760	649.047686	0.160154
-3.546087	604.778437	0.165158
-4.286794	508.678410	0.170163
-5.200826	485.054137	0.175168
-5.887111	419.042142	0.180173
-6.750376	296.607462	0.185178
-7.589447	267.946466	0.190182
-8.536106	225.049702	0.195187
-9.295101	199.505327	0.200192
-10.313941	200.461273	0.205197
-11.348298	133.477693	0.210202
-12.415605	49.931825	0.215206
-13.733360	52.359351	0.220211
-14.757688	-2.128384	0.225216
-16.026605	18.715411	0.230221
-17.268185	-40.691550	0.235226
-18.713133	-27.546484	0.240230
-19.903780	28.202048	0.245235
-20.998491	-3.006179	0.250240
-22.490670	41.553566	0.255245
-23.425241	25.259049	0.260250
-24.671510	70.861279	0.265254
-25.770839	2.334123	0.270259
-26.849175	9.323543	0.275264
-28.502922	-30.131667	0.280269
-29.348595	12.852628	0.285274
-30.462995	6.873050	0.290278
-31.512972	54.253140	0.295283
-32.593666	48.256624	0.300288
-33.789263	2.109703	0.305293
-34.793003	-30.091059	0.310298
-35.869070	-22.526533	0.315302
-36.712662	23.436259	0.320307
-37.833341	35.708938	0.325312
-39.089445	8.025474	0.330317
-40.265453	7.372796	0.335322
-41.214583	15.936081	0.340326
-42.237552	86.683800	0.345331
-43.431767	1.282150	0.350336
-44.480618	3.374305	0.355341
-45.352349	-8.496361	0.360346
-46.530399	-22.660762	0.365350
-47.562584	82.499900	0.370355
-48.691142	-6.270875	0.375360
-49.954001	33.409712	0.380365
-50.998762	13.007010	0.385370
-51.922811	65.873688	0.390374
-52.967147	-60.081169	0.395379
-53.815403	-11.713616	0.400384
-55.212958	-78.581166	0.405389
-56.008525	2.921668	0.410394
-57.189916	21.472312	0.415398
-58.191402	29.670483	0.420403
-59.244742	29.529791	0.425408
-60.355467	52.952352	0.430413
-61.390150	-9.423999	0.435418
-62.059894	-12.389971	0.440422
-62.966242	6.449044	0.445427
-64.075026	-23.746821	0.450432
-65.206776	-20.877266	0.455437
-66.348972	-64.487241	0.460442
-67.233057	-70.708588	0.465446
-68.475199	-26.415729	0.470451
-69.404505	25.626426	0.475456
-70.367893	4.278015	0.480461
-71.509341	-12.100903	0.485466
-72.376093	18.009935	0.490470
-73.438549	-28.366637	0.495475
-74.473934	-14.750210	0.500480
-75.451289	-62.937378	0.505485
-76.409763	-14.415919	0.510490
-77.540209	19.308391	0.515494
-78.496827	12.121187	0.520499
-79.591217	-6.531980	0.525504
-80.678485	25.219713	0.530509
-81.549498	26.229247	0.535514
-82.616227	5.426858	0.540518
-83.657052	0.876227	0.545523
-84.716173	20.896577	0.550528
-85.556029	13.403266	0.555533
-86.996816	9.229785	0.560538
-87.717737	-46.355003	0.565542
-88.743248	61.138009	0.570547
-89.622546	7.599802	0.575552
-90.600426	30.736269	0.580557
-91.684623	42.027545	0.585562
-92.633531	-33.281088	0.590566
-93.442801	-0.115445	0.595571
-94.380966	-33.782443	0.600576
-95.564251	9.390438	0.605581
-96.470113	58.928130	0.610586
-97.652439	8.771830	0.615590
-98.475722	34.813395	0.620595
-99.667818	57.066531	0.625600
-100.588294	39.453551	0.630605
-101.639333	12.650488	0.635610
-102.668009	-8.946181	0.640614
-103.589710	32.504077	0.645619
-104.692546	19.242388	0.650624
-105.583529	-16.917969	0.655629
-106.675301	19.610589	0.660634
-107.513172	26.599235	0.665638
-108.833984	25.761255	0.670643
-109.891373	-48.110892	0.675648
-110.712045	38.982847	0.680653
-111.669434	-7.170279	0.685658
-112.757087	24.274995	0.690662
-113.767832	-12.072666	0.695667
-114.769068	-11.128107	0.700672
-115.663497	-34.162936	0.705677
-116.883030	-2.782258	0.710682
-117.750837	-4.339646	0.715686
-118.731922	-9.353422	0.720691
-119.677344	18.998809	0.725696
-120.869271	19.985098	0.730701
-121.919852	8.359212	0.735706
-122.554393	19.132483	0.740710
-123.747687	-51.448230	0.745715
-124.687852	-43.400688	0.750720
-125.534104	7.701496	0.755725
-126.726986	-52.596380	0.760730
-127.651972	21.744051	0.765734
-128.671285	23.314011	0.770739
-129.590447	-63.381954	0.775744
-130.842558	-37.629942	0.780749
-131.786433	-92.405184	0.785754
-132.800293	12.812118	0.790758
-133.878471	-72.525287	0.795763
-134.755827	-8.232608	0.800768
-135.871352	52.925138	0.805773
-136.810170	0.025664	0.810778
-137.790218	0.312704	0.815782
-138.889031	-10.240080	0.820787
-139.761331	-0.793282	0.825792
-140.943099	-43.626765	0.830797
-141.892204	22.660257	0.835802
-143.005718	-11.163715	0.840806
-143.778950	-35.613770	0.845811
-144.878920	-52.556188	0.850816
-145.872878	-9.261693	0.855821
-146.785314	-40.020076	0.860826
-147.977089	-9.855982	0.865830
-148.861690	-6.119380	0.870835
-149.797301	-5.545973	0.875840
-150.846979	4.038509	0.880845
-151.717991	-3.763849	0.885850
-152.784314	-40.156215	0.890854
-153.900728	-50.841007	0.895859
-154.821127	-5.817400	0.900864
-155.695385	12.022908	0.905869
-156.812231	26.216320	0.910874
-157.605998	26.394266	0.915878
-158.861455	63.776161	0.920883
-160.011347	3.014066	0.925888
-160.857309	-8.639004	0.930893
-161.725574	111.841288	0.935898
-162.907820	44.624152	0.940902
-163.862852	9.022581	0.945907
-164.886327	4.166404	0.950912
-165.680025	34.955351	0.955917
-166.986555	2.062694	0.960922
-167.875104	-25.680277	0.965926
-168.868244	1.635804	0.970931
-169.944384	-35.886175	0.975936
-170.865220	-4.831611	0.980941
-171.635164	28.697344	0.985946
-172.784019	-22.533017	0.990950
-173.889420	-15.421689	0.995955
-175.012087	-13.925120	1.000960
-175.857367	-50.349951	1.005965
-176.969351	-26.795135	1.010970
-178.051967	-8.650805	1.015974
-179.083061	-10.049733	1.020979
-180.033915	-33.091411	1.025984
-180.914944	-8.727400	1.030989
-181.891658	54.533173	1.035994
-182.899287	38.932204	1.040998
-183.975715	0.283769	1.046003
-184.863632	-38.975185	1.051008
-185.870436	31.185619	1.056013
-187.159800	20.292995	1.061018
-187.907030	15.123915	1.066022
-189.185876	-8.264249	1.071027
-189.966793	-6.600718	1.076032
-191.042961	-12.773132	1.081037
-191.945855	-13.686976	1.086042
-193.075086	70.156655	1.091046
-193.931373	-6.720554	1.096051
-194.904181	-24.210060	1.101056
-195.973496	74.979499	1.106061
-197.035393	12.581189	1.111066
-198.150483	7.729214	1.116070
-199.035535	7.272871	1.121075
-200.069418	16.045197	1.126080
-201.085497	-27.122211	1.131085
-201.993956	17.246910	1.136090
-203.019667	13.443064	1.141094
-204.140288	5.807784	1.146099
-204.936182	0.253665	1.151104
-206.105947	62.442824	1.156109
-207.070202	-24.639109	1.161114
-207.947213	-2.416722	1.166118
-209.102412	-5.797643	1.171123
-210.039328	16.506380	1.176128
-210.726422	-21.182757	1.181133
-211.835492	13.636853	1.186138
-212.969697	26.684449	1.191142
-213.858516	-77.538534	1.196147
-214.888408	15.967983	1.201152
-215.882169	-12.805350	1.206157
-217.030288	21.344506	1.211162
-217.928334	8.068428	1.216166
-218.976552	0.022197	1.221171
-219.997187	35.495983	1.226176
-221.055207	19.216503	1.231181
-221.947070	-22.594581	1.236186
-223.082088	-27.271112	1.241190
-223.805342	33.762323	1.246195
-225.033739	-34.034072	1.251200
-226.108769	4.748993	1.256205
-226.931150	28.362317	1.261210
-227.879219	43.209688	1.266214
-228.977549	56.965726	1.271219
-230.057067	62.685962	1.276224
-231.089001	40.709122	1.281229
-232.102086	60.696738	1.286234
-233.094177	7.714513	1.291238
-234.070699	26.601490	1.296243
-235.287313	-16.458252	1.301248
-236.197667	-52.499146	1.306253
-237.069324	15.278115	1.311258
-238.019941	48.144936	1.316262
-239.157608	14.085032	1.321267
-239.993185	-7.597347	1.326272
-240.906118	-27.915782	1.331277
-242.072187	22.430931	1.336282
-242.976921	-21.435058	1.341286
-243.918078	88.015673	1.346291
-244.940464	-3.059460	1.351296
-246.126606	18.647946	1.356301
-246.854516	-37.534816	1.361306
-248.102103	0.207893	1.366310
-249.203750	14.227912	1.371315
-250.039181	3.454304	1.376320
-251.194582	45.642738	1.381325
-252.029051	7.061730	1.386330
-253.097624	0.267593	1.391334
-254.110050	61.161482	1.396339
-255.119730	88.808714	1.401344
-256.183389	-20.378198	1.406349
-257.161769	-14.752579	1.411354
-258.290285	28.879307	1.416358
-259.252076	43.580953	1.421363
-260.192443	19.359626	1.426368
-261.218666	-20.618617	1.431373
-262.224383	43.583923	1.436378
-263.048228	-29.216268	1.441382
-264.216151	3.613234	1.446387
-265.192870	4.312829	1.451392
-266.229098	17.517293	1.456397
-267.067369	-15.880255	1.461402
-267.911810	-16.280392	1.466406
-268.957452	14.138273	1.471411
-270.190914	35.835816	1.476416
-271.275104	5.896065	1.481421
-272.243430	-17.127140	1.486426
-273.419457	-6.181399	1.491430
-274.312286	25.027391	1.496435
-275.396026	-14.275355	1.501440
-276.250483	-28.848035	1.506445
-277.527662	-27.414513	1.511450
-278.264814	23.209095	1.516454
-279.357655	18.006224	1.521459
-280.321579	28.577928	1.526464
-281.259621	-18.750836	1.531469
-282.648693	-11.573864	1.536474
-283.169424	-1.981691	1.541478
-284.394671	-9.846166	1.546483
-285.570785	-19.998125	1.551488
-286.636989	-29.859563	1.556493
-287.342432	32.927008	1.561498
-288.281811	-61.753920	1.566502
-289.504155	-26.835455	1.571507
-290.368478	20.442693	1.576512
-291.316729	50.724145	1.581517
-292.412375	-5.422973	1.586522
-293.458166	30.484668	1.591526
-294.456471	14.881276	1.596531
-295.295722	3.670953	1.601536
-296.243798	-46.658618	1.606541
-297.504305	-18.124260	1.611546
-298.125831	3.228634	1.616550
-299.523611	-9.919505	1.621555
-300.192244	18.852327	1.626560
-301.157138	64.491531	1.631565
-302.195000	3.675907	1.636570
-303.312189	63.213862	1.641574
-304.319091	-19.028565	1.646579
-305.473905	39.432295	1.651584
-306.132535	8.844206	1.656589
-307.031076	1.426729	1.661594
-308.329803	52.091352	1.666598
-309.313565	-0.304786	1.671603
-310.262520	51.431503	1.676608
-311.374574	28.028545	1.681613
-312.460367	4.742442	1.686618
-313.307262	18.825696	1.691622
-314.057639	-38.219586	1.696627
-315.225770	-52.980240	1.701632
-316.356048	-8.277410	1.706637
-317.271826	87.690618	1.711642
-318.316075	28.216392	1.716646
-319.317157	33.743106	1.721651
-320.392530	26.588445	1.726656
-321.109161	1.833125	1.731661
-322.246132	-8.443748	1.736666
-323.266407	36.462049	1.741670
-324.362640	-2.160548	1.746675
-325.526181	25.135258	1.751680
-326.521019	47.808650	1.756685
-327.207781	-22.406225	1.761690
-328.455045	33.361620	1.766694
-329.332725	-35.190271	1.771699
-330.156792	48.700630	1.776704
-331.239229	-27.778416	1.781709
-332.354496	38.048865	1.786714
-333.105666	59.011289	1.791718
-334.450913	19.403945	1.796723
-335.397262	-37.090739	1.801728
-336.304814	72.737453	1.806733
-337.371826	11.906241	1.811738
-338.220343	-57.243118	1.816742
-339.471241	40.358441	1.821747
-340.390314	-28.624611	1.826752
-341.418420	0.731044	1.831757
-342.453133	16.063282	1.836762
-343.395727	52.945966	1.841766
-343.940637	-5.378816	1.846771
-345.137405	33.143093	1.851776
-346.477788	26.536005	1.856781
-347.476676	-3.536863	1.861786
-348.172298	29.774921	1.866790
-349.435217	49.723575	1.871795
-350.384060	11.304547	1.876800
-351.508333	-12.213178	1.881805
-352.351540	26.709469	1.886810
-353.376180	-1.946990	1.891814
-354.453943	22.580383	1.896819
-355.562041	0.221622	1.901824
-356.063295	-46.012738	1.906829
-357.703498	30.414721	1.911834
-358.577551	71.299975	1.916838
-359.336476	7.135160	1.921843
-360.235160	23.356728	1.926848
-361.347110	-22.176397	1.931853
-362.429769	31.092103	1.936858
-363.334358	29.916613	1.941862
-364.470507	35.017105	1.946867
-365.282007	27.515830	1.951872
-366.502599	-0.521192	1.956877
-367.336277	-54.498006	1.961882
-368.334726	-36.861557	1.966886
-369.438199	-36.690713	1.971891
-370.618342	-7.812292	1.976896
-371.331868	34.711666	1.981901
-372.412302	-52.488685	1.986906
-373.328984	-11.821550	1.991910
-374.354964	-54.653138	1.996915
-375.245615	-26.517748	2.001920
-376.478871	-35.443119	2.006925
-377.414396	4.873319	2.011930
-378.529966	-26.889601	2.016934
-379.316721	-33.391042	2.021939
-380.706732	-2.443018	2.026944
-381.356753	3.009768	2.031949
-382.557845	31.381761	2.036954
-383.591300	-14.889721	2.041958
-384.450529	12.835201	2.046963
-385.751198	-33.757981	2.051968
-386.764749	14.137470	2.056973
-387.613795	-22.141342	2.061978
-388.649379	-5.750943	2.066982
-389.413723	1.540735	2.071987
-390.371137	75.554430	2.076992
-391.390308	1.427524	2.081997
-392.426408	-59.244017	2.087002
-393.410211	47.654378	2.092006
-394.408357	50.439208	2.097011
-395.627588	3.813820	2.102016
-396.237369	16.739135	2.107021
-397.527298	-55.348645	2.112026
-398.378173	59.593602	2.117030
-399.483234	5.208748	2.122035
